student_id,student_name,department,semester,cgpa,tenth_percentage,twelfth_percentage,backlogs,programming_languages,frameworks,verified_certifications,python_skill,java_skill,sql_skill,react_skill,aws_skill,dsa_skill,certifications_count,projects_count,project_complexity,open_source_contributions,internships_count,aptitude_score,quantitative_aptitude_score,logical_aptitude_score,coding_score,communication_score,verbal_fluency_score,interview_score,presentation_score,hackathons_participated,leadership_roles,tech_society_participation,target_role,placement_probability,placement_status,missing_skills,recommended_courses,roadmap_weeks,placement_outcome
STU0021,Priya Mehta,IT,7,7.64,82.0,82.5,0,Python|Java|C++,React|Spring Boot|Pandas,Python Certificate|SQL Certificate|Cloud Certificate,2,2,1,1,1,2,3,6,3,11,3,68,69,68,63,85,79,80,82,0,0,0,Full Stack Developer,80.0,Ready,React|MongoDB,Meta Front-End Development|MongoDB Developer Path,6,Placed
STU0022,Kavya Singh,CSE,6,6.12,68.1,59.3,0,Python,React|Pandas,,2,0,1,1,0,0,0,3,2,6,0,48,50,49,40,77,73,61,65,0,0,1,DevOps Engineer,7.6,Needs Training,AWS|Docker|Kubernetes,AWS Cloud Practitioner|Docker & Kubernetes Bootcamp|Kubernetes for DevOps,8,Not Placed
STU0023,Gaurav Jain,CSE,8,9.28,75.4,74.7,0,Python|Java,React|Pandas,Python Certificate,2,1,1,1,1,1,1,3,3,8,1,70,75,73,66,86,83,82,85,1,1,1,Data Analyst,62.4,Near Ready,SQL|Power BI,SQL & Database Fundamentals|Microsoft Power BI Data Analyst,6,Placed
STU0024,Meera Kumar,AI&DS,8,6.91,79.1,73.4,0,Python|Java|C++,React,Python Certificate|SQL Certificate,1,1,1,1,0,2,2,1,2,6,0,64,67,62,58,83,80,76,76,0,2,1,QA Engineer,60.0,Near Ready,Java|API Testing|Automation Testing,Java for Test Automation|Postman & REST API Testing|Mastering Test Automation & Frameworks,8,Placed
STU0025,Anish Rao,AI&DS,8,6.62,60.9,53.4,1,Python,Git,,1,0,0,0,0,1,0,0,1,4,0,45,48,43,40,75,67,58,70,0,0,1,Data Analyst,5.0,Needs Training,Python|SQL|Statistics|Power BI,Python for Data Analysis|SQL & Database Fundamentals|Statistics for Data Analysis|Microsoft Power BI Data Analyst,10,Not Placed
STU0026,Ankit Shah,ECE,7,9.16,84.1,96.4,0,Python|Java|C++,React|AWS,Python Certificate,1,1,3,1,2,2,1,4,3,11,2,79,76,83,76,89,91,90,87,2,2,2,Data Analyst,91.1,Ready,Python|Power BI,Python for Data Analysis|Microsoft Power BI Data Analyst,6,Placed
STU0027,Neha Kulkarni,CSE,8,6.91,68.0,65.0,1,Python|Java,Git,,1,1,1,0,0,1,0,1,2,4,1,56,55,56,48,80,77,68,77,0,0,0,QA Engineer,17.1,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
STU0028,Karan Pillai,AI&DS,8,7.57,66.2,72.7,0,Python|Java,React|Spring Boot,,1,2,1,1,0,1,0,0,1,5,2,55,57,56,46,79,78,67,74,1,0,1,QA Engineer,60.0,Near Ready,Selenium|API Testing|Automation Testing,Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,8,Placed
STU0029,Aditya Yadav,IT,6,7.89,90.2,78.1,0,Python|Java,React|Spring Boot,,1,2,2,1,1,1,0,2,3,7,0,67,69,65,62,84,81,79,81,1,1,1,Data Analyst,60.0,Near Ready,Python|Statistics|Power BI,Python for Data Analysis|Statistics for Data Analysis|Microsoft Power BI Data Analyst,8,Placed
STU0030,Rohan Bhat,CSE,8,8.84,93.8,79.4,0,Python|Java|C++,React|Spring Boot|Pandas|AWS,Python Certificate,2,2,2,2,2,2,1,2,2,8,0,79,79,80,76,89,88,90,91,5,1,2,QA Engineer,86.0,Ready,Automation Testing,Mastering Test Automation & Frameworks,4,Placed
STU0031,Anushka Kapoor,IT,5,6.46,79.5,65.8,1,Python|Java,React|Spring Boot,Python Certificate|SQL Certificate,1,2,1,1,0,1,2,1,2,5,2,53,55,51,43,78,75,65,76,0,0,1,QA Engineer,24.2,Needs Training,Selenium|API Testing|Automation Testing,Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,8,Not Placed
STU0032,Nishant Gupta,CSE,7,8.17,72.4,80.3,0,Python|Java,React,,1,1,3,1,1,1,0,2,2,8,1,65,66,67,60,84,83,77,83,0,0,1,Data Analyst,60.0,Near Ready,Python|Statistics|Power BI,Python for Data Analysis|Statistics for Data Analysis|Microsoft Power BI Data Analyst,8,Placed
STU0033,Siddharth Joshi,CSE,6,8.48,81.8,77.7,0,Python|Java|C++,React|Spring Boot|Pandas|AWS,Python Certificate|SQL Certificate|Cloud Certificate|DSA Certificate,2,2,2,1,2,2,4,4,3,11,1,70,72,70,65,85,87,81,82,5,2,3,Full Stack Developer,80.0,Ready,React,Meta Front-End Development,4,Placed
STU0034,Vedant Kulkarni,EEE,5,7.88,77.1,88.4,0,Python|Java,React|Spring Boot,Python Certificate|SQL Certificate|Cloud Certificate,1,2,2,1,0,1,3,1,2,6,0,73,74,70,69,87,84,85,85,2,2,1,QA Engineer,64.9,Near Ready,API Testing|Automation Testing,Postman & REST API Testing|Mastering Test Automation & Frameworks,6,Placed
STU0035,Nikhil Deshmukh,Mechanical,5,7.02,75.9,82.7,1,Python|Java|C++,React,Python Certificate|SQL Certificate,1,1,2,1,0,2,2,4,4,9,1,67,68,69,61,84,84,79,80,4,1,1,QA Engineer,60.0,Near Ready,Java|API Testing,Java for Test Automation|Postman & REST API Testing,6,Placed
STU0036,Divya Thakur,ECE,7,7.03,70.5,77.2,0,Python,Git,Python Certificate|SQL Certificate|Cloud Certificate|DSA Certificate,0,0,0,0,0,1,4,3,2,6,1,60,65,56,53,81,79,72,80,0,1,2,QA Engineer,60.0,Near Ready,Java|API Testing|Automation Testing,Java for Test Automation|Postman & REST API Testing|Mastering Test Automation & Frameworks,8,Placed
STU0037,Ananya Verma,AI&DS,6,6.27,77.6,64.8,0,Python,React,,0,0,1,1,1,1,0,1,2,5,0,55,57,51,46,79,79,67,79,0,0,0,QA Engineer,14.9,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
STU0038,Yash Nair,CSE,7,7.55,76.7,69.3,0,Python,React,Python Certificate,1,0,2,1,0,1,1,3,3,8,1,66,63,65,60,84,79,78,82,1,0,1,Data Analyst,60.0,Near Ready,Python|Statistics|Power BI,Python for Data Analysis|Statistics for Data Analysis|Microsoft Power BI Data Analyst,8,Placed
STU0039,Rishabh Joshi,IT,5,7.05,74.8,61.7,1,Python,Git,Python Certificate,1,0,1,0,0,1,1,2,2,6,0,52,54,52,43,78,77,64,74,0,0,0,QA Engineer,18.6,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
STU0040,Anish Chawla,AI&DS,6,5.0,57.6,50.0,2,Python,Git,,0,0,0,0,0,1,0,0,1,2,0,40,42,41,40,69,64,43,58,1,0,0,QA Engineer,5.0,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
STU0041,Harsh Chawla,CSE,7,7.92,93.0,82.2,0,Python|Java,React|Spring Boot|Pandas,Python Certificate|SQL Certificate,2,2,2,1,1,1,2,4,3,9,1,70,73,67,65,85,83,82,82,4,1,2,QA Engineer,81.5,Ready,API Testing,Postman & REST API Testing,4,Placed
STU0042,Ankit Rao,AI&DS,7,8.43,77.8,70.1,1,Python|Java|C++,React|Pandas|AWS,Python Certificate|SQL Certificate|Cloud Certificate,2,1,2,2,2,2,3,5,4,11,1,76,74,70,72,88,88,87,87,1,1,1,Data Analyst,80.0,Ready,Statistics,Statistics for Data Analysis,4,Placed
STU0043,Kavya Chowdhury,CSE,6,5.56,65.4,53.7,0,Python,React,,0,0,0,1,1,1,0,0,1,2,0,40,45,40,40,71,67,49,66,1,0,1,QA Engineer,5.0,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
STU0044,Vedant Shetty,EEE,7,5.37,75.7,66.9,0,Python,Git,,0,0,0,0,1,0,0,3,3,6,1,53,56,51,43,78,70,65,73,0,0,0,QA Engineer,11.3,Needs Training,Java|Selenium|API Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing,8,Not Placed
STU0045,Nikhil Patel,CSE,8,7.82,78.1,78.9,0,Python|Java|C++,React|Spring Boot|Pandas,Python Certificate|SQL Certificate,2,3,2,2,1,2,2,5,4,10,0,72,76,68,68,86,87,84,85,1,0,1,QA Engineer,80.0,Ready,API Testing,Postman & REST API Testing,4,Placed
STU0046,Nikhil Shah,IT,7,9.66,99.5,100.0,0,Python|Java|C++,React|Spring Boot|Pandas|AWS,Python Certificate|SQL Certificate,3,3,3,2,2,3,2,2,3,10,0,89,92,95,89,94,92,100,98,5,2,3,Data Analyst,97.5,Ready,Advanced interview practice,Advanced Placement Interview Mastery,4,Placed
STU0047,Gaurav Saxena,AI&DS,6,8.12,79.8,77.7,1,Python|Java,React|Pandas|AWS,Python Certificate|SQL Certificate|Cloud Certificate,2,1,2,1,2,1,3,3,3,8,1,65,65,67,59,83,83,77,80,1,0,1,DevOps Engineer,60.0,Near Ready,Docker|Kubernetes,Docker & Kubernetes Bootcamp|Kubernetes for DevOps,6,Placed
STU0048,Kavya Thakur,AI&DS,5,6.53,71.0,76.3,1,Python|Java,Spring Boot|Pandas,Python Certificate,2,2,2,0,0,1,1,3,3,7,0,56,58,54,48,80,79,68,76,0,1,0,QA Engineer,23.9,Needs Training,Selenium|API Testing,Automation Testing with Selenium|Postman & REST API Testing,6,Not Placed
STU0049,Zoya Pandey,AI&DS,8,6.38,72.4,72.1,0,Python|Java,Pandas,Python Certificate,2,1,1,0,0,1,1,3,3,7,0,63,63,60,56,82,79,74,74,0,0,1,QA Engineer,60.0,Near Ready,Java|API Testing,Java for Test Automation|Postman & REST API Testing,6,Placed
STU0050,Ananya Kulkarni,CSE,5,9.18,85.4,93.0,0,Python|Java|C++,React|Spring Boot|Pandas|AWS,Python Certificate|SQL Certificate,3,2,3,2,2,2,2,2,3,9,2,81,82,81,79,90,90,93,92,4,1,2,Data Analyst,93.2,Ready,Advanced interview practice,Advanced Placement Interview Mastery,4,Placed
STU0051,Vedant Patel,Mechanical,8,6.54,83.1,79.0,0,Python,Git,,1,0,1,0,0,0,0,1,2,6,0,57,61,53,49,80,76,69,74,1,0,1,QA Engineer,15.3,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
STU0052,Shreya Yadav,ECE,7,6.11,71.6,75.7,2,Python,React,,1,0,0,1,0,0,0,2,2,6,1,55,55,55,47,79,73,67,75,0,0,1,QA Engineer,11.2,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
STU0053,Isha Patel,EEE,8,6.71,78.0,64.1,0,Python|Java,Git,Python Certificate|SQL Certificate,1,1,1,0,0,0,2,1,2,5,1,59,61,55,51,81,76,71,81,0,1,0,QA Engineer,25.0,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
STU0054,Rohan Rao,EEE,7,6.45,66.4,64.9,0,Java,Git,,0,1,1,0,0,1,0,2,2,6,1,53,56,48,44,79,77,66,75,2,1,1,QA Engineer,21.0,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
STU0055,Kavya Kapoor,IT,8,7.32,75.1,74.0,1,Python|Java,React|Spring Boot|Pandas,,3,2,2,1,1,1,0,4,3,9,2,66,65,70,60,84,80,78,84,2,1,1,QA Engineer,67.2,Near Ready,API Testing,Postman & REST API Testing,4,Placed
STU0056,Vedant Thakur,EEE,6,8.02,96.4,92.6,0,Python|Java|C++,React,Python Certificate|SQL Certificate|Cloud Certificate,1,1,2,1,1,2,3,6,4,12,1,84,83,82,83,91,90,95,87,2,1,1,Full Stack Developer,80.0,Ready,React|Java,Meta Front-End Development|Java Programming & Spring Boot,6,Placed
STU0057,Siddharth Nair,CSE,7,8.27,73.8,82.0,1,Python|Java|C++,React|Pandas,Python Certificate|SQL Certificate|Cloud Certificate|DSA Certificate|Web Development Certificate,2,1,2,2,1,2,6,2,3,7,2,69,69,71,63,85,84,80,85,1,0,1,QA Engineer,66.3,Near Ready,Java|API Testing,Java for Test Automation|Postman & REST API Testing,6,Placed
STU0058,Zoya Mehta,CSE,7,7.89,73.9,67.7,0,Python|Java,React,,1,1,1,1,1,1,0,1,2,6,0,62,64,62,55,82,78,74,74,0,3,2,QA Engineer,60.0,Near Ready,Java|API Testing|Automation Testing,Java for Test Automation|Postman & REST API Testing|Mastering Test Automation & Frameworks,8,Placed
STU0059,Rishabh Jain,CSE,7,7.53,75.8,72.8,0,Python|Java,React,,1,1,1,1,1,1,0,2,2,6,0,61,63,60,54,82,79,73,79,0,0,0,QA Engineer,21.7,Needs Training,Java|API Testing|Automation Testing,Java for Test Automation|Postman & REST API Testing|Mastering Test Automation & Frameworks,8,Not Placed
STU0060,Akash Nair,AI&DS,7,5.37,66.1,50.0,0,Python|Java,React,,1,1,1,1,1,1,0,1,1,3,0,46,47,44,40,75,74,58,70,0,0,0,QA Engineer,5.7,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
STU0061,Aditya Pillai,AI&DS,8,8.28,84.2,91.6,0,Python|Java|C++,Spring Boot|Pandas,Python Certificate|SQL Certificate|Cloud Certificate,2,2,3,0,1,3,3,6,4,12,2,75,80,76,72,88,83,87,86,1,0,1,Full Stack Developer,80.0,Ready,React,Meta Front-End Development,4,Placed
STU0062,Manish Rao,CSE,8,7.42,79.4,71.2,1,Python|Java,React|Spring Boot|Pandas,Python Certificate|SQL Certificate|Cloud Certificate,2,3,2,1,1,1,3,0,2,5,1,64,65,63,57,83,79,76,78,2,1,1,QA Engineer,60.0,Near Ready,API Testing|Automation Testing,Postman & REST API Testing|Mastering Test Automation & Frameworks,6,Placed
STU0063,Kavya Gupta,ECE,7,7.62,80.0,73.7,0,Python|Java,React|Pandas,Python Certificate,2,1,1,1,0,0,1,2,2,7,0,63,66,60,56,82,78,74,75,0,0,0,QA Engineer,60.0,Near Ready,Java|API Testing|Automation Testing,Java for Test Automation|Postman & REST API Testing|Mastering Test Automation & Frameworks,8,Placed
STU0064,Gaurav Kapoor,AI&DS,7,10.0,100.0,100.0,0,Python|Java|C++,React|Spring Boot|Pandas|AWS,Python Certificate,3,3,3,3,2,3,1,6,4,15,1,100,100,100,100,99,99,100,99,6,1,3,Full Stack Developer,98.0,Ready,Advanced interview practice,Advanced Placement Interview Mastery,4,Placed
STU0065,Sneha Dutta,CSE,7,7.43,75.5,84.6,0,Python|Java|C++,React|Pandas,Python Certificate|SQL Certificate|Cloud Certificate,2,1,2,1,1,2,3,1,2,7,3,68,73,65,63,85,80,80,82,2,1,1,Full Stack Developer,60.0,Near Ready,React|Java|NodeJS|MongoDB,Meta Front-End Development|Java Programming & Spring Boot|Node.js Backend Development|MongoDB Developer Path,10,Placed
STU0066,Aiswarya Mehta,AI&DS,7,6.79,70.6,51.2,0,Python|Java,React,Python Certificate,1,1,0,1,0,1,1,3,2,7,1,56,56,53,47,80,79,68,72,0,0,1,QA Engineer,24.9,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
STU0067,Gaurav Pandey,CSE,6,7.3,80.6,71.1,0,Python,React|Pandas,,2,0,2,2,1,1,0,1,2,6,0,60,63,61,52,81,77,72,75,1,0,1,Data Analyst,60.0,Near Ready,Statistics|Power BI,Statistics for Data Analysis|Microsoft Power BI Data Analyst,6,Placed
STU0068,Sahil Rao,ECE,5,9.38,91.7,84.7,0,Java|C++,React|Spring Boot,Python Certificate,0,2,2,1,1,2,1,3,3,9,0,79,78,77,76,89,88,90,88,6,0,3,QA Engineer,87.3,Ready,Advanced interview practice,Advanced Placement Interview Mastery,4,Placed
STU0069,Vikas Chowdhury,CSE,6,7.97,72.0,73.3,0,Python|Java,React|Spring Boot|Pandas,,2,2,1,2,1,1,0,0,2,6,2,66,68,64,60,84,82,78,82,1,1,1,QA Engineer,62.3,Near Ready,API Testing|Automation Testing,Postman & REST API Testing|Mastering Test Automation & Frameworks,6,Placed
STU0070,Bhavya Iyer,Mechanical,6,6.46,68.3,72.4,1,Python,React,Python Certificate,0,0,1,1,1,0,1,0,1,3,0,47,52,45,40,76,71,60,69,0,0,1,QA Engineer,8.9,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
STU0071,Arjun Nair,ECE,6,8.46,75.5,77.9,1,Python|Java|C++,React|Spring Boot|Pandas,Python Certificate|SQL Certificate|Cloud Certificate,2,2,1,1,0,2,3,4,3,11,3,76,77,70,72,88,85,87,88,2,1,1,QA Engineer,83.1,Ready,Advanced interview practice,Advanced Placement Interview Mastery,4,Placed
STU0072,Ishaan Bhat,CSE,6,7.54,72.9,73.6,1,Java,Git,Python Certificate,0,1,1,0,0,1,1,0,2,4,0,57,57,56,49,80,77,69,76,1,0,1,QA Engineer,24.6,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
STU0073,Shreya Iyer,CSE,5,9.58,100.0,94.0,0,Python|Java|C++,React|Spring Boot|Pandas|AWS,Python Certificate|SQL Certificate|Cloud Certificate|DSA Certificate,2,3,3,3,3,2,4,4,3,12,3,87,85,90,87,93,94,99,91,3,0,2,Full Stack Developer,97.4,Ready,Advanced interview practice,Advanced Placement Interview Mastery,4,Placed
STU0074,Ishaan Deshmukh,ECE,5,8.15,81.9,92.3,0,Python|Java|C++,React,,1,1,2,3,0,2,0,1,2,7,1,78,75,78,75,89,89,89,89,1,0,0,Full Stack Developer,80.0,Ready,Java|NodeJS|MongoDB,Java Programming & Spring Boot|Node.js Backend Development|MongoDB Developer Path,8,Placed
STU0075,Priya Dutta,IT,8,7.75,70.2,67.0,0,Python|Java|C++,React,Python Certificate,1,1,1,1,1,2,1,1,3,6,2,59,60,56,52,81,79,71,73,1,1,1,QA Engineer,60.0,Near Ready,Java|Selenium|API Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing,8,Placed
STU0076,Tanvi Rao,IT,7,9.13,92.1,82.1,0,Python|Java|C++,React|Pandas,Python Certificate|SQL Certificate,2,1,3,1,1,2,2,1,3,8,2,80,81,83,78,90,89,92,88,3,2,2,Data Analyst,91.1,Ready,Advanced interview practice,Advanced Placement Interview Mastery,4,Placed
STU0077,Nikhil Nair,ECE,6,7.35,70.8,82.2,0,Java,React,Python Certificate|SQL Certificate,0,1,1,1,0,1,2,5,3,9,1,66,64,65,60,84,80,78,80,0,0,0,QA Engineer,60.0,Near Ready,Java|API Testing,Java for Test Automation|Postman & REST API Testing,6,Placed
STU0078,Arjun Agarwal,CSE,7,8.11,81.7,85.2,0,Python|Java,React|Spring Boot|Pandas,Python Certificate,2,2,2,2,1,1,1,2,2,8,2,75,81,71,71,88,83,87,90,1,2,1,Data Analyst,80.2,Ready,Power BI,Microsoft Power BI Data Analyst,4,Placed
STU0079,Sahil Gupta,AI&DS,6,8.13,84.9,70.1,0,Python|Java|C++,React|Pandas|AWS,Python Certificate,2,1,2,2,2,2,1,5,4,11,2,71,73,72,66,86,86,82,86,2,2,2,DevOps Engineer,80.0,Ready,Advanced interview practice,Advanced Placement Interview Mastery,4,Placed
